"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"01/01/2020 10:53:10.295","0","3249229824","1000071168","17.329579106841602965","6.737027621729036575","2748624896"
"01/01/2020 10:53:11.467","0","3249131520","1005748224","17.427953103889702646","1395.9377700803777316","2748510208"
"01/01/2020 10:53:12.643","0","3249192960","1005658112","17.42639162517767204","2.5500743219161123854","2748563456"
"01/01/2020 10:53:13.846","0","3249197056","1005629440","17.425894787867061808","0.8332839612586288025","2748567552"
"01/01/2020 10:53:15.045","0","3249238016","1005428736","17.422416903409736477","5.8469103464002039061","2748608512"
"01/01/2020 10:53:16.204","0","3249262592","1005371392","17.421423228788519566","0","2748633088"
"01/01/2020 10:53:17.422","0","3249344512","1005252608","17.419364912765882281","6.5598988463597898146","2748719104"
"01/01/2020 10:53:18.591","0","3249352704","1005150208","17.41759048714711966","5.9816559701840086305","2748723200"
"01/01/2020 10:53:19.763","0","3249790976","1003884544","17.395658608850943949","65.727985670274790664","2748928000"
"01/01/2020 10:53:20.927","0","3249922048","1003720704","17.392819541830757402","4.2970628286447363209","2749054976"
"01/01/2020 10:53:22.003","0","3257556992","993722368","17.219564904742775013","1586.9924732411554942","2756706304"
"01/01/2020 10:53:23.106","0","3261108224","989913088","17.153556392796701857","3.6193579186665130187","2760257536"
"01/01/2020 10:53:24.186","0","3261595648","988995584","17.137657575574159807","2.7649542782552289921","2760781824"
"01/01/2020 10:53:25.312","0","3261771776","991834112","17.186844562456673913","85.535562211885491024","2760933376"
"01/01/2020 10:53:26.434","0","3261816832","991805440","17.186347725146063681","0","2760978432"
"01/01/2020 10:53:27.611","0","3261915136","991690752","17.184360375903633411","5.0965498905515911332","2761080832"
"01/01/2020 10:53:28.701","0","3262173184","991617024","17.183082787595473917","58.101920914063107659","2761318400"
"01/01/2020 10:53:29.762","0","3262246912","991514624","17.181308361976714849","31.832538378104086263","2761375744"
"01/01/2020 10:53:30.875","0","3262332928","991195136","17.17577216149674868","13.536596459259536473","2761465856"
"01/01/2020 10:53:31.934","0","3262377984","991166464","17.175275324186142001","6.5991037851422316152","2761515008"
"01/01/2020 10:53:33.064","0","3262406656","991109120","17.17428164956492509","0.88299004446384665723","2761543680"
"01/01/2020 10:53:34.123","0","3262402560","991080448","17.173784812254314858","7.6000669945905583447","2761543680"
"01/01/2020 10:53:35.219","0","3262402560","991051776","17.173287974943708178","7.2987532999488351493","2761543680"
"01/01/2020 10:53:36.310","0","3262517248","991051776","17.173287974943708178","0","2761658368"
"01/01/2020 10:53:37.388","0","3262545920","991023104","17.172791137633097946","12.076283841346985071","2761687040"
"01/01/2020 10:53:38.450","0","3262545920","990994432","17.172294300322487715","0","2761687040"
"01/01/2020 10:53:39.497","0","3262545920","990965760","17.171797463011881035","9.5606800588211289238","2761687040"
"01/01/2020 10:53:40.562","0","3262554112","990879744","17.170306951080053892","6.5743181586799970262","2761695232"
"01/01/2020 10:53:41.606","0","3262603264","990789632","17.168745449084962473","11.442309828572266639","2761744384"
"01/01/2020 10:53:42.656","0","3263025152","989679616","17.149510704248562831","2.8681669984498512349","2762493952"
"01/01/2020 10:53:43.718","0","3263414272","988983296","17.13744462866742424","12.24700398244307209","2762555392"
"01/01/2020 10:53:44.781","0","3263565824","988925952","17.136450954046207329","0","2762706944"
"01/01/2020 10:53:45.889","0","3263614976","988868608","17.135457279424986865","2.7027935263049829295","2762756096"
"01/01/2020 10:53:46.998","0","3263750144","988782592","17.133966767493159722","23.490865486606050894","2762891264"
"01/01/2020 10:53:48.060","0","3263791104","988688384","17.13233429871786484","9.4117469896527250484","2762932224"
"01/01/2020 10:53:49.138","0","3263975424","988561408","17.130134002568699003","4.6174378834551292883","2763116544"
"01/01/2020 10:53:50.232","0","3264143360","988241920","17.1245978253717972","7.3461014698630782149","2763284480"
"01/01/2020 10:53:51.259","92.854793818108561254","3268554752","973230080","16.864467462726047131","1581.1120722047025993","2755383296"
"01/01/2020 10:53:52.265","99.318155619596538486","3331616768","854933504","14.814583471700219164","568.45127239668192942","2817130496"
"01/01/2020 10:53:53.267","99.937481302037980413","3331903488","854933504","14.814583471700219164","146.75215029336953876","2817400832"
"01/01/2020 10:53:54.279","99.839621669197512688","3332071424","854851584","14.813163926548595484","270.80927100713967093","2817572864"
"01/01/2020 10:53:55.291","99.943892925805073446","3332239360","854851584","14.813163926548595484","10.872050103941742094","2817699840"
"01/01/2020 10:53:56.298","99.607193495038487185","3332263936","854851584","14.813163926548595484","121.17886775630969964","2817724416"
"01/01/2020 10:53:57.305","99.950571319864934594","3332296704","854851584","14.813163926548595484","20.860549313891567635","2817818624"
