"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N9B1TIBPDSS\Processor(_total)\% Idle Time","\\WIN-N9B1TIBPDSS\memory\available bytes","\\WIN-N9B1TIBPDSS\memory\committed bytes","\\WIN-N9B1TIBPDSS\memory\% committed bytes in use","\\WIN-N9B1TIBPDSS\memory\page faults/sec","\\WIN-N9B1TIBPDSS\memory\free & zero page list bytes"
"01/06/2020 01:41:36.964","84.256137214467699","24855748608","115215380480","74.580849258830042","14145.514378210935","23145062400"
"01/06/2020 01:41:37.964","97.674186759812386","24855425024","115216363520","74.581485608262355","8273.6483699442779","23144366080"
"01/06/2020 01:41:39.181","98.58665045297694","24879153152","115217170432","74.582007917245392","6303.7890383446111","23143477248"
"01/06/2020 01:41:40.224","99.376266482541055","24879120384","115217170432","74.582007917245392","17.250672201193439","23143460864"
"01/06/2020 01:41:41.238","99.423076467746967","24879095808","115217084416","74.58195224743848","4.9328904913109604","23143436288"
"01/06/2020 01:41:42.277","92.679797074925446","24879087616","115217084416","74.58195224743848","5047.0562928678564","23143428096"
"01/06/2020 01:41:43.286","84.053102712216116","24878882816","115215806464","74.581125000161393","20236.447328154707","23143038976"
"01/06/2020 01:41:44.309","83.826872033823662","24879788032","115197370368","74.569191009404406","10491.172838039696","23143956480"
"01/06/2020 01:41:45.310","85.493940169530717","24880693248","115201044480","74.571569327863756","17536.73335190794","23143948288"
"01/06/2020 01:41:46.314","99.398665319648288","24881156096","115200802816","74.571412888954256","5.9799998903666678","23143972864"
"01/06/2020 01:41:47.351","99.410353157384719","24881188864","115200802816","74.571412888954256","14.466191738377187","23143997440"
"01/06/2020 01:41:48.359","99.378273838664271","24881147904","115200802816","74.571412888954256","15.872267923882555","23143972864"
"01/06/2020 01:41:49.367","99.366808579531451","24881156096","115201855488","74.572094314399195","9.9214498968764495","23143972864"
"01/06/2020 01:41:50.385","90.984726518335748","24881152000","115200512000","74.57122464537882","14092.027837501415","23143976960"
"01/06/2020 01:41:51.386","84.249047601645572","24884776960","115191050240","74.565099895597683","12500.530466236136","23147020288"
"01/06/2020 01:41:52.399","83.886241511571868","24890294272","115181555712","74.55895391166186","12287.226054053723","23152558080"
"01/06/2020 01:41:53.415","84.999692426254896","24897826816","115181187072","74.558715283535122","11207.65841238258","23159644160"
"01/06/2020 01:41:54.481","99.214501907281814","24898289664","115181158400","74.558696726932823","14.069591953694157","23159656448"
"01/06/2020 01:41:55.486","98.290216177298703","24898387968","115183210496","74.56002509560436","7631.9345301841613","23159672832"
"01/06/2020 01:41:56.501","99.420362349627212","24898363392","115183046656","74.559919041246161","4.925392130169052","23159664640"
"01/06/2020 01:41:57.611","99.408207215393176","24898416640","115183976448","74.560520908460134","81.075033321838688","23159717888"
"01/06/2020 01:41:58.654","91.832990108725198","24904110080","115170623488","74.551877303643124","12514.239034720515","23165419520"
"01/06/2020 01:41:59.655","85.364272008865299","24904732672","115172933632","74.553372705018475","9085.720415921427","23165538304"
"01/06/2020 01:42:00.657","83.748051370275519","24921735168","115149758464","74.538371030832266","10480.771063769818","23182573568"
"01/06/2020 01:42:01.658","84.690828987832873","24922267648","115152109568","74.539892928334865","9439.3548671966983","23182667776"
"01/06/2020 01:42:02.662","98.457197009120108","24922996736","115156664320","74.542841309342265","7576.9123902556512","23182725120"
"01/06/2020 01:42:03.668","98.445885286584854","24922992640","115157012480","74.5430666661223","7595.1273557313252","23182716928"
